1 kaneko 0731 0 02 00 00 BG-01-5200-02-010-A 空 そら 空
1 kaneko 0731 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0731 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0731 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0731 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0731 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0731 1 47 21 02 BG-02-3060-01-010-A 思わ おもう 思う
1 kaneko 0731 2 47 21 02 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0731 0 49 06 04 BG-02-1110-02-010-A れ れる れる
2 kaneko 0731 2 49 06 04 BG-09-0040-02-010-A れ れる れる
1 kaneko 0731 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0731 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0731 1 02 00 00 BG-01-5153-05-010-A 春雨 はるさめ 春雨
1 kaneko 0731 3 02 00 00 BG-01-1624-02-010-A -- はる 春
1 kaneko 0731 3 02 00 00 BG-01-5153-01-010-A -- あめ 雨
1 kaneko 0731 0 61 00 00 BG-08-0061-07-010-A の の の
1 kaneko 0731 0 47 17 01 BG-02-1540-10-010-A 降る ふる 降る
2 kaneko 0731 2 47 17 01 BG-02-5150-03-010-A 降る ふる 降る
1 kaneko 0731 1 63 00 00 BG-08-0063-07-010-A という という という
1 kaneko 0731 3 63 00 00 BG-08-0061-04-010-A -- と と
1 kaneko 0731 3 63 00 00 BG-02-3120-01-010-A -- いう 云う
1 kaneko 0731 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0731 0 51 50 01 BG-03-1661-03-020-A 古い ふるい 古い
1 kaneko 0731 0 02 00 00 BG-02-3020-03-090-A 馴染み なじみ 馴染み
1 kaneko 0731 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0731 0 02 00 00 BG-01-2000-06-080-A 人 ひと 人
2 kaneko 0731 2 02 00 00 BG-01-2020-01-020-A 人 ひと 人
1 kaneko 0731 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0731 0 47 06 05 BG-02-1556-01-020-C 見れ みる 見る
2 kaneko 0731 2 47 06 05 BG-02-3060-01-015-A 見れ みる 見る
3 kaneko 0731 2 47 06 05 BG-02-3090-02-010-A 見れ みる 見る
4 kaneko 0731 2 47 06 05 BG-02-3510-01-080-C 見れ みる 見る
1 kaneko 0731 1 64 00 00 BG-08-0064-26-010-A ば ば ば
1 kaneko 0731 2 64 00 00 BG-04-1120-05-150-A -- ば ば
1 kaneko 0731 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0731 1 02 00 00 BG-01-5153-05-010-A 春雨 はるさめ 春雨
1 kaneko 0731 3 02 00 00 BG-01-1624-02-010-A -- はる 春
1 kaneko 0731 3 02 00 00 BG-01-5153-01-010-A -- あめ 雨
1 kaneko 0731 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0731 0 47 21 05 BG-02-1556-01-020-A 逢っ あう 逢う
2 kaneko 0731 2 47 21 05 BG-02-3510-01-010-A 逢っ あう 逢う
1 kaneko 0731 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0731 1 23 00 00 BG-03-1300-01-010-A よう よう よう
1 kaneko 0731 2 23 00 00 BG-03-1140-01-070-A -- よう よう
1 kaneko 0731 0 72 00 00 BG-08-0072-02-010-A に に に
1 kaneko 0731 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0731 0 02 00 00 BG-01-5770-06-070-A うれし涙 うれしなみだ うれし涙
1 kaneko 0731 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0731 0 02 00 00 BG-01-4240-01-010-A 袖 そで 袖
1 kaneko 0731 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0731 0 47 06 04 BG-02-5130-01-010-A 濡れ ぬれる 濡れる
1 kaneko 0731 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0731 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0731 0 78 00 00 BG-16-0078-01-010-A 。 。 。
