1 kaneko 0821 1 02 00 00 BG-01-5151-06-030-A 秋風 あきかぜ 秋風
1 kaneko 0821 3 02 00 00 BG-01-5020-01-010-A -- いろ 色
1 kaneko 0821 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0821 0 47 17 06 BG-02-1120-02-050-A 変っ かわる 変る
2 kaneko 0821 2 47 17 06 BG-02-1500-01-020-A 変っ かわる 変る
3 kaneko 0821 2 47 17 06 BG-02-1501-01-030-A 変っ かわる 変る
1 kaneko 0821 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0821 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0821 0 69 00 00 BG-08-0069-02-020-A い い い
1 kaneko 0821 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0821 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0821 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0821 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0821 0 47 21 01 BG-02-3120-01-010-A いう いう いう
1 kaneko 0821 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0821 0 02 00 00 BG-01-1750-05-060-A 表面 ひょうめん 表面
1 kaneko 0821 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0821 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0821 0 61 00 00 BG-08-0061-03-010-A で で で
1 kaneko 0821 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0821 0 47 06 04 BG-02-3000-07-030-A 飽き あきる 飽きる
1 kaneko 0821 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0821 1 63 00 00 BG-08-0063-07-010-A という という という
1 kaneko 0821 3 63 00 00 BG-08-0061-04-010-A -- と と
1 kaneko 0821 3 63 00 00 BG-02-3120-01-010-A -- いう 云う
1 kaneko 0821 0 42 00 00 BG-05-0070-01-010-A お お お
1 kaneko 0821 0 02 00 00 BG-01-3000-01-020-A 心 こころ 心
2 kaneko 0821 2 02 00 00 BG-01-3061-01-120-A 心 こころ 心
1 kaneko 0821 0 61 00 00 BG-08-0061-02-010-A が が が
1 kaneko 0821 0 51 50 07 BG-03-1400-01-010-A 強く つよい 強い
2 kaneko 0821 2 51 50 07 BG-03-5840-01-190-A 強く つよい 強い
1 kaneko 0821 0 47 17 06 BG-02-1220-01-030-A なっ なる なる
1 kaneko 0821 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0821 0 48 01 01 BG-02-1527-01-010-A くる くる くる
1 kaneko 0821 0 22 00 00 BG-01-1610-01-010-A 時 とき 時
1 kaneko 0821 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0821 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0821 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0821 0 56 00 00 BG-01-1670-02-010-A かねて かねて かねて
1 kaneko 0821 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0821 0 17 00 00 BG-01-3530-01-010-A 約束 やくそく 約束
1 kaneko 0821 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0821 0 42 00 00 BG-05-0070-01-010-A お お お
1 kaneko 0821 0 02 00 00 BG-01-3101-01-010-A 言葉 ことば 言葉
1 kaneko 0821 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0821 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0821 0 55 00 00 BG-03-1980-05-060-A すっかり すっかり すっかり
1 kaneko 0821 0 47 17 06 BG-02-1120-02-050-A 変っ かわる 変る
2 kaneko 0821 2 47 17 06 BG-02-1500-01-020-A 変っ かわる 変る
3 kaneko 0821 2 47 17 06 BG-02-1501-01-030-A 変っ かわる 変る
1 kaneko 0821 0 74 54 01 BG-09-0010-04-010-A た た た
1 kaneko 0821 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0821 0 69 00 00 BG-08-0069-02-020-A い い い
1 kaneko 0821 0 78 00 00 BG-16-0078-01-010-A 。 。 。
1 kaneko 0821 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0821 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0821 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0821 0 47 21 01 BG-02-3120-01-010-A いう いう いう
1 kaneko 0821 0 64 00 00 BG-08-0064-04-010-A が が が
1 kaneko 0821 0 02 00 00 BG-01-1750-05-070-A 裏面 りめん 裏面
1 kaneko 0821 0 71 00 00 BG-08-0071-01-010-A の の の
1 kaneko 0821 0 02 00 00 BG-01-3045-01-010-A 意 い 意
1 kaneko 0821 0 78 00 00 BG-16-0078-01-010-A 。 。 。
