1 kaneko 0554 0 82 00 00 BG-16-0082-04-010-A 「 「 「
1 kaneko 0554 3 47 17 06 BG-02-1560-11-050-A -- せまる 迫る
1 kaneko 0554 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0554 0 51 51 01 BG-03-3020-04-030-A 恋しい こいしい 恋しい
1 kaneko 0554 0 22 00 00 BG-01-1610-01-010-A 時 とき 時
1 kaneko 0554 0 65 00 00 BG-08-0065-07-010-A は は は
1 kaneko 0554 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0554 0 55 00 00 BG-03-1992-03-050-A せめて せめて せめて
1 kaneko 0554 0 02 00 00 BG-01-3002-07-030-A 夢 ゆめ 夢
1 kaneko 0554 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0554 0 47 17 05 BG-02-1220-01-030-A なり なる なる
1 kaneko 0554 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0554 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0554 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0554 1 65 00 00 BG-08-0065-08-010-A も も も
1 kaneko 0554 2 65 00 00 BG-04-1130-01-200-A -- も も
1 kaneko 0554 0 47 06 04 BG-02-1556-01-020-C 見 みる 見る
2 kaneko 0554 2 47 06 04 BG-02-3060-01-015-A 見 みる 見る
3 kaneko 0554 2 47 06 04 BG-02-3090-02-010-A 見 みる 見る
4 kaneko 0554 2 47 06 04 BG-02-3510-01-080-C 見 みる 見る
1 kaneko 0554 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0554 0 47 16 03 BG-02-3010-14-010-A 慰も なぐさむ 慰む
2 kaneko 0554 2 47 16 03 BG-02-3010-14-010-C 慰も なぐさむ 慰む
1 kaneko 0554 0 74 70 01 BG-09-0010-02-010-A う う う
1 kaneko 0554 0 62 00 00 BG-08-0062-01-010-A と と と
2 kaneko 0554 2 62 00 00 BG-08-0064-18-010-A と と と
2 kaneko 0554 2 62 00 00 BG-04-1120-05-170-A -- と と
1 kaneko 0554 1 47 21 05 BG-02-3060-01-010-A 思っ おもう 思う
1 kaneko 0554 2 47 21 05 BG-01-3061-01-010-A -- おもい 思い
1 kaneko 0554 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0554 0 79 00 00 BG-16-0079-01-010-A 、 、 、
1 kaneko 0554 1 02 00 00 BG-01-4220-01-030-A 寝巻 ねまき 寝巻
1 kaneko 0554 3 02 00 00 BG-02-3000-11-010-A -- ねる 寝る
1 kaneko 0554 3 02 00 00 BG-01-4430-01-050-A -- ま 間
1 kaneko 0554 3 02 00 00 BG-01-4210-01-090-A -- ぎ 着
1 kaneko 0554 0 61 00 00 BG-08-0061-10-010-A を を を
1 kaneko 0554 1 47 12 04 BG-02-1514-05-040-A 裏返し うらがえす 裏返す
1 kaneko 0554 3 47 12 04 BG-01-1750-05-050-A -- うら 裏
1 kaneko 0554 3 47 12 04 BG-02-1527-04-040-A -- かえす 返す
2 kaneko 0554 2 47 12 04 BG-02-1570-12-060-A 裏返し うらがえす 裏返す
1 kaneko 0554 0 61 00 00 BG-08-0061-05-010-A に に に
1 kaneko 0554 0 47 03 07 BG-02-3420-01-010-A し する する
1 kaneko 0554 0 64 00 00 BG-08-0064-16-010-A て て て
1 kaneko 0554 0 67 00 00 BG-08-0069-05-010-A サ さ サ
1 kaneko 0554 0 47 06 01 BG-02-1513-04-030-A 寝る ねる 寝る
2 kaneko 0554 2 47 06 01 BG-02-3000-11-010-A 寝る ねる 寝る
3 kaneko 0554 2 47 06 01 BG-02-3330-02-050-A 寝る ねる 寝る
4 kaneko 0554 2 47 06 01 BG-02-3391-02-120-A 寝る ねる 寝る
1 kaneko 0554 0 69 00 00 BG-08-0069-32-010-A わ わ わ
1 kaneko 0554 0 78 00 00 BG-16-0078-01-010-A 。 。 。
